0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,year,half_year,lor,key
03,20,03,09,5386,335,571,164,366,1229,771,913,1037,2671,585,2022,2,03200309,03200309-2022-2
03,20,03,10,8056,495,821,280,614,1965,1104,1263,1514,4188,656,2022,2,03200310,03200310-2022-2
03,30,04,11,11765,931,1428,373,1023,3181,1433,1518,1878,6139,1825,2022,2,03300411,03300411-2022-2
03,30,04,12,5247,274,440,127,349,958,702,1041,1356,2674,324,2022,2,03300412,03300412-2022-2
03,30,04,13,3140,169,322,116,199,569,469,609,687,1565,140,2022,2,03300413,03300413-2022-2
03,30,05,14,6964,340,748,214,404,1247,1005,1329,1677,3549,452,2022,2,03300514,03300514-2022-2
03,30,05,15,50,3,6,3,3,10,0,12,13,19,0,2022,2,03300515,03300515-2022-2
03,30,05,16,8446,521,758,218,773,2159,1040,1368,1609,4127,1637,2022,2,03300516,03300516-2022-2
03,30,05,17,1114,39,79,29,59,160,148,230,370,544,43,2022,2,03300517,03300517-2022-2
03,40,06,18,4809,245,504,198,413,1008,767,891,783,2435,409,2022,2,03400618,03400618-2022-2
03,40,06,19,10593,594,874,253,936,2431,1441,1693,2371,5537,1246,2022,2,03400619,03400619-2022-2
03,40,06,20,3517,173,355,145,256,689,577,539,783,1819,397,2022,2,03400620,03400620-2022-2
03,40,07,21,11782,782,1399,414,962,3656,2078,1257,1234,6107,1619,2022,2,03400721,03400721-2022-2
03,40,07,22,3622,207,357,132,262,764,597,514,789,2006,328,2022,2,03400722,03400722-2022-2
03,40,07,23,7146,527,773,191,604,2533,977,709,832,3622,1126,2022,2,03400723,03400723-2022-2
03,40,07,24,7691,485,720,197,657,1952,1079,1040,1561,4178,737,2022,2,03400724,03400724-2022-2
03,40,07,25,7511,448,692,166,550,1738,871,1097,1949,4063,659,2022,2,03400725,03400725-2022-2
03,40,08,26,6998,448,688,159,573,2142,917,858,1213,3686,1229,2022,2,03400826,03400826-2022-2
03,40,08,27,9683,535,788,227,751,3481,1454,1136,1311,4967,1676,2022,2,03400827,03400827-2022-2
03,40,08,28,4903,281,315,106,412,1833,584,558,814,2491,981,2022,2,03400828,03400828-2022-2
03,40,08,29,6000,307,544,141,697,1693,759,695,1164,3153,1020,2022,2,03400829,03400829-2022-2
03,40,08,30,9313,521,713,199,784,2992,1441,1244,1419,4933,1090,2022,2,03400830,03400830-2022-2
03,40,08,31,0,0,0,0,0,0,0,0,0,0,0,2022,2,03400831,03400831-2022-2
03,50,09,32,6349,471,516,176,596,1930,712,836,1112,3269,1515,2022,2,03500932,03500932-2022-2
03,50,09,33,7667,396,662,212,603,2320,1037,969,1468,3984,1045,2022,2,03500933,03500933-2022-2
03,50,09,34,10321,711,885,206,849,4176,1454,1080,960,5015,2148,2022,2,03500934,03500934-2022-2
03,50,09,35,6621,466,633,212,644,2437,976,717,536,3301,1298,2022,2,03500935,03500935-2022-2
03,50,09,36,10008,635,1094,330,865,3102,1540,1234,1208,5162,1635,2022,2,03500936,03500936-2022-2
03,50,10,37,8527,481,588,158,760,2593,982,1075,1890,4388,1355,2022,2,03501037,03501037-2022-2
03,50,10,38,7360,405,681,172,505,1826,877,1158,1736,3900,944,2022,2,03501038,03501038-2022-2
03,60,11,39,3792,238,244,71,370,1594,514,376,385,1870,968,2022,2,03601139,03601139-2022-2
03,60,11,40,6025,348,473,135,507,2661,1039,509,353,2914,1425,2022,2,03601140,03601140-2022-2
03,60,11,41,6722,408,544,138,676,2827,1057,561,511,3383,1754,2022,2,03601141,03601141-2022-2
03,60,11,42,10967,603,933,281,948,4592,2003,1019,588,5445,2896,2022,2,03601142,03601142-2022-2
03,60,12,43,6943,376,445,109,638,2935,1100,680,660,3480,1419,2022,2,03601243,03601243-2022-2
03,60,12,44,7624,384,534,141,685,2961,1232,807,880,3992,1462,2022,2,03601244,03601244-2022-2
03,60,12,45,13038,693,686,231,1213,5341,1628,1432,1814,6693,2743,2022,2,03601245,03601245-2022-2
03,60,13,46,6000,353,533,174,585,2243,1194,626,292,2957,1633,2022,2,03601346,03601346-2022-2
03,60,13,47,9431,549,886,273,825,3432,1966,1084,416,4674,2084,2022,2,03601347,03601347-2022-2
03,60,13,48,7561,438,650,164,620,3067,1436,825,361,3850,1798,2022,2,03601348,03601348-2022-2
03,60,14,49,9939,402,586,180,733,2200,975,1237,3626,5363,1398,2022,2,03601449,03601449-2022-2
03,60,14,50,4345,363,504,126,510,1183,437,440,782,2134,1843,2022,2,03601450,03601450-2022-2
03,60,14,51,6408,346,503,111,554,2702,942,645,605,3219,1543,2022,2,03601451,03601451-2022-2
03,60,14,52,4722,295,316,81,445,2047,583,472,483,2378,1381,2022,2,03601452,03601452-2022-2
03,60,14,53,3061,241,504,146,187,978,580,187,238,1539,595,2022,2,03601453,03601453-2022-2
03,70,15,54,11507,655,1011,324,1147,4297,2150,1333,590,5650,3145,2022,2,03701554,03701554-2022-2
03,70,15,55,7288,426,596,182,642,2699,1343,911,489,3662,1687,2022,2,03701555,03701555-2022-2
03,70,15,56,8711,648,788,237,708,3219,1455,1008,648,4290,2486,2022,2,03701556,03701556-2022-2
03,70,16,57,3170,174,280,65,268,952,394,390,647,1603,708,2022,2,03701657,03701657-2022-2
