key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
03701657-2022-2,2022,2,03701657,3170,174,280,65,268,952,394,390,647
03701658-2022-2,2022,2,03701658,8445,466,757,249,767,3278,1538,909,481
03701659-2022-2,2022,2,03701659,9204,575,822,240,806,3370,1642,956,793
03701660-2022-2,2022,2,03701660,12904,755,1231,449,1121,4296,2443,1562,1047
04100101-2022-2,2022,2,04100101,11546,632,819,276,1248,3057,1509,1539,2466
04100102-2022-2,2022,2,04100102,7804,502,820,232,745,1849,971,1033,1652
04200203-2022-2,2022,2,04200203,1528,61,142,73,162,274,177,244,395
04200204-2022-2,2022,2,04200204,3096,177,201,60,209,654,275,346,1174
04200205-2022-2,2022,2,04200205,2543,79,199,76,230,489,378,448,644
04200206-2022-2,2022,2,04200206,2904,113,291,105,250,453,399,507,786
04200207-2022-2,2022,2,04200207,2958,90,268,87,596,528,314,386,689
04200308-2022-2,2022,2,04200308,6174,262,427,135,681,1369,717,864,1719
04200309-2022-2,2022,2,04200309,6843,296,435,129,644,1541,809,979,2010
04200310-2022-2,2022,2,04200310,7685,353,555,195,704,1643,953,1038,2244
04200311-2022-2,2022,2,04200311,7320,326,459,127,886,2097,801,1071,1553
04300412-2022-2,2022,2,04300412,4442,305,252,67,502,1689,382,407,838
04300413-2022-2,2022,2,04300413,10010,543,801,272,1120,2710,1336,1443,1785
04300414-2022-2,2022,2,04300414,10664,506,711,205,1098,3083,1354,1544,2163
04300415-2022-2,2022,2,04300415,6358,285,379,129,576,1631,716,889,1753
04300416-2022-2,2022,2,04300416,11868,582,725,242,1322,3486,1417,1760,2334
04300517-2022-2,2022,2,04300517,9476,425,531,183,1099,3080,1172,1400,1586
04300518-2022-2,2022,2,04300518,5800,292,379,112,625,2027,677,775,913
04300619-2022-2,2022,2,04300619,8798,412,525,174,865,2557,1090,1194,1981
04300620-2022-2,2022,2,04300620,3631,205,209,65,468,1451,410,439,384
04300621-2022-2,2022,2,04300621,10599,550,649,203,1083,3186,1288,1405,2235
04300622-2022-2,2022,2,04300622,5238,321,331,95,561,1762,604,615,949
04300623-2022-2,2022,2,04300623,12147,577,712,241,1550,3873,1475,1537,2182
04300624-2022-2,2022,2,04300624,9224,419,463,174,1053,2692,1121,1363,1939
04400725-2022-2,2022,2,04400725,98,3,0,0,3,58,17,10,7
04400726-2022-2,2022,2,04400726,5449,289,513,159,422,1064,736,715,1551
04400727-2022-2,2022,2,04400727,8276,396,543,145,797,2111,1060,1235,1989
04400728-2022-2,2022,2,04400728,3216,184,275,74,223,582,453,475,950
04400729-2022-2,2022,2,04400729,2854,162,246,82,202,460,347,403,952
04400830-2022-2,2022,2,04400830,8273,561,773,204,660,2293,927,948,1907
04400831-2022-2,2022,2,04400831,1541,56,113,41,142,209,221,215,544
04400832-2022-2,2022,2,04400832,6891,280,507,164,559,1267,940,1065,2109
04400833-2022-2,2022,2,04400833,4088,187,272,82,243,832,458,566,1448
04400834-2022-2,2022,2,04400834,3490,155,243,63,279,778,421,562,989
04400835-2022-2,2022,2,04400835,10292,471,693,235,932,2228,1299,1684,2750
04500936-2022-2,2022,2,04500936,5517,269,354,130,530,1413,710,780,1331
04500937-2022-2,2022,2,04500937,7599,310,444,121,681,2049,945,1110,1939
04500938-2022-2,2022,2,04500938,8216,415,544,135,711,2368,1000,1154,1889
04500939-2022-2,2022,2,04500939,6741,376,429,143,683,1949,804,988,1369
04501040-2022-2,2022,2,04501040,5942,256,365,136,524,1631,764,917,1349
04501041-2022-2,2022,2,04501041,5429,233,339,128,448,1273,736,886,1386
04501042-2022-2,2022,2,04501042,3669,179,267,66,373,1019,504,469,792
