key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
04030930-2018-1,2018,1,04030930,5509,206,308,104,408,1270,931,878,1404
04030931-2018-1,2018,1,04030931,3728,180,233,68,299,1043,551,502,852
04031032-2018-1,2018,1,04031032,15456,716,838,302,1314,3992,2235,2229,3830
04041133-2018-1,2018,1,04041133,52,0,0,3,8,14,9,9,9
04041134-2018-1,2018,1,04041134,5277,253,457,72,444,1052,818,633,1548
04041135-2018-1,2018,1,04041135,2792,126,196,71,157,485,400,407,950
04041136-2018-1,2018,1,04041136,3068,156,210,81,182,564,465,413,997
04041137-2018-1,2018,1,04041137,8184,379,499,164,724,1986,1208,1126,2098
04041238-2018-1,2018,1,04041238,6046,303,536,147,450,1179,888,756,1787
04041239-2018-1,2018,1,04041239,202,3,26,3,27,58,36,24,25
04041240-2018-1,2018,1,04041240,1514,49,100,58,104,207,251,196,549
04041241-2018-1,2018,1,04041241,6934,287,452,147,510,1245,1088,996,2209
04041342-2018-1,2018,1,04041342,4111,138,203,65,233,773,564,705,1430
04041343-2018-1,2018,1,04041343,3547,162,208,70,330,748,538,557,934
04041344-2018-1,2018,1,04041344,10650,487,731,246,832,2176,1775,1554,2849
04051445-2018-1,2018,1,04051445,6283,292,393,127,592,1698,885,901,1395
04051446-2018-1,2018,1,04051446,10741,536,609,174,896,2630,1616,1587,2693
04051447-2018-1,2018,1,04051447,5259,222,296,102,482,1225,782,750,1400
04051448-2018-1,2018,1,04051448,9262,392,452,142,779,2425,1422,1290,2360
04051549-2018-1,2018,1,04051549,4636,281,369,116,518,1303,642,582,825
04051550-2018-1,2018,1,04051550,5606,256,359,113,634,1600,867,757,1020
04051551-2018-1,2018,1,04051551,4459,231,265,95,528,1267,616,620,837
04051652-2018-1,2018,1,04051652,9824,443,580,214,922,2385,1465,1433,2382
04051653-2018-1,2018,1,04051653,6969,302,384,145,642,1725,1034,956,1781
04051654-2018-1,2018,1,04051654,3052,107,148,51,296,758,404,410,878
04051655-2018-1,2018,1,04051655,7132,372,439,158,775,2001,1061,965,1361
04051656-2018-1,2018,1,04051656,7705,368,605,170,812,2120,1196,992,1442
04061757-2018-1,2018,1,04061757,72,0,0,0,13,4,16,20,19
05010101-2018-1,2018,1,05010101,10262,599,846,269,837,2427,1396,1256,2632
05010102-2018-1,2018,1,05010102,6230,305,315,117,610,1348,826,967,1742
05010103-2018-1,2018,1,05010103,7771,364,516,185,720,1623,1144,1228,1991
05010204-2018-1,2018,1,05010204,3627,252,426,142,367,691,421,430,898
05010205-2018-1,2018,1,05010205,1919,76,166,59,254,372,396,365,231
05010206-2018-1,2018,1,05010206,10550,677,905,297,1008,2206,1412,1345,2700
05010207-2018-1,2018,1,05010207,11553,764,1172,382,1065,2642,1491,1509,2528
05010208-2018-1,2018,1,05010208,7698,504,557,152,839,2117,1140,994,1395
05010209-2018-1,2018,1,05010209,6088,305,415,162,554,1177,933,942,1600
05010310-2018-1,2018,1,05010310,3938,274,321,76,420,1148,552,493,654
05010311-2018-1,2018,1,05010311,5658,322,546,180,531,1250,661,562,1606
05010312-2018-1,2018,1,05010312,7338,524,683,211,969,2364,951,783,853
05010313-2018-1,2018,1,05010313,6883,471,501,183,961,1951,1019,898,899
05010314-2018-1,2018,1,05010314,12402,831,863,297,1472,3493,1759,1611,2076
05010339-2018-1,2018,1,05010339,1030,107,166,46,145,301,106,69,90
05020415-2018-1,2018,1,05020415,3862,161,344,152,456,562,875,758,554
05020416-2018-1,2018,1,05020416,1700,71,83,31,140,303,258,252,562
05020417-2018-1,2018,1,05020417,5936,256,446,165,594,1061,1006,917,1491
05020418-2018-1,2018,1,05020418,4427,272,454,148,465,1027,546,487,1028
05020419-2018-1,2018,1,05020419,7077,410,582,164,639,1496,887,870,2029
05020420-2018-1,2018,1,05020420,955,60,79,34,119,209,200,122,132
05020521-2018-1,2018,1,05020521,3187,206,354,121,317,686,569,414,520
05020522-2018-1,2018,1,05020522,7472,611,861,234,795,1810,966,819,1376
05020523-2018-1,2018,1,05020523,12746,1147,1669,497,1397,2970,1486,1320,2260
05020524-2018-1,2018,1,05020524,6266,266,356,133,506,1053,825,1015,2112
05020625-2018-1,2018,1,05020625,7655,407,470,162,830,1953,981,963,1889
05020626-2018-1,2018,1,05020626,18698,1040,1264,382,2270,5174,2840,2353,3375
05020627-2018-1,2018,1,05020627,4413,294,458,147,501,1055,635,521,802
05020628-2018-1,2018,1,05020628,2022,103,120,49,151,347,233,288,731
05020629-2018-1,2018,1,05020629,4456,152,242,80,259,597,650,689,1787
05030730-2018-1,2018,1,05030730,4004,316,509,154,422,1069,657,404,473
05030731-2018-1,2018,1,05030731,11709,712,848,268,1138,2787,1611,1638,2707
05030832-2018-1,2018,1,05030832,11976,780,1010,319,1352,3168,1719,1445,2183
05030833-2018-1,2018,1,05030833,500,27,24,6,63,133,77,58,112
05040934-2018-1,2018,1,05040934,3613,170,357,124,348,516,498,592,1008
05040935-2018-1,2018,1,05040935,443,12,37,12,33,80,78,69,122
05040936-2018-1,2018,1,05040936,9978,654,1149,366,723,1834,1718,1341,2193
