key,lor,year,month,hour,weekday,ac_category,ac_type,is_car,latitude,longitude,district_LOR3,district_LOR2,district,distance_to_CC
114191-2018-4300414,04300414,2018,2,9,4,light_injured,other,True,52.51107108665086,13.297268719519892,043004,0430,04,7.413601914470872
114192-2018-1100311,01100311,2018,11,8,6,light_injured,other,True,52.52105395095015,13.420084626092622,011003,0110,01,1.0011156632980007
114196-2018-9100101,09100101,2018,6,4,7,light_injured,other,True,52.49400854242926,13.460599876452559,091001,0910,09,4.66363685416978
114199-2018-3601139,03601139,2018,4,16,3,light_injured,other,True,52.55620800272734,13.414617571711435,036011,0360,03,4.166617593784159
114202-2018-3601139,03601139,2018,9,20,5,light_injured,turn_in,False,52.55480048349439,13.414801475614006,036011,0360,03,4.0136401815124145
114203-2018-2400625,02400625,2018,7,20,4,light_injured,other,False,52.50363654551029,13.447600109541943,024006,0240,02,3.3304013952881593
114204-2018-2500727,02500727,2018,7,13,4,light_injured,other,False,52.51590209567189,13.453751546309036,025007,0250,02,3.2843923802810195
114205-2018-7400720,07400720,2018,5,17,4,light_injured,other,False,52.481164058545126,13.385787585752148,074007,0740,07,4.438811691485681
114211-2018-3200206,03200206,2018,8,16,4,light_injured,turn_in,True,52.57773256209026,13.398414926485634,032002,0320,03,6.535842699583394
114213-2018-1100310,01100310,2018,4,15,5,light_injured,other,True,52.524115359957065,13.418453018510535,011003,0110,01,1.0280745752418148
114214-2018-3601245,03601245,2018,5,17,4,light_injured,other,True,52.54713838986591,13.428220313791732,036012,0360,03,3.468794448525626
114215-2018-4300414,04300414,2018,12,12,4,light_injured,other,True,52.51115133448015,13.30136556593907,043004,0430,04,7.1364918389597385
114225-2018-10400837,10400837,2018,8,16,7,light_injured,other,True,52.50499909619473,13.588443357010437,104008,1040,10,12.508827038705638
114226-2018-3601139,03601139,2018,4,21,6,light_injured,other,False,52.55501687393735,13.414792044135107,036011,0360,03,4.037333948039479
114227-2018-2200208,02200208,2018,3,20,4,light_injured,other,True,52.49811068801365,13.386772375756053,022002,0220,02,2.6709997837894086
114231-2018-4300414,04300414,2018,8,12,5,light_injured,other,False,52.510178203939496,13.285793493274987,043004,0430,04,8.199002888896656
114237-2018-9100101,09100101,2018,9,16,2,light_injured,other,True,52.49171180315167,13.457705761288757,091001,0910,09,4.671074950012161
