key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+,percentage_per_lor
03701556-2022-2,2022,2,03701556,8711,648,788,237,708,3219,1455,1008,648,0.22621220631820482
03701657-2022-2,2022,2,03701657,3170,174,280,65,268,952,394,390,647,0.08232036437018818
03701658-2022-2,2022,2,03701658,8445,466,757,249,767,3278,1538,909,481,0.21930456691048555
03701659-2022-2,2022,2,03701659,9204,575,822,240,806,3370,1642,956,793,0.2390147109347672
03701660-2022-2,2022,2,03701660,12904,755,1231,449,1121,4296,2443,1562,1047,0.33509841698199005
04100101-2022-2,2022,2,04100101,11546,632,819,276,1248,3057,1509,1539,2466,0.29983310000573904
04100102-2022-2,2022,2,04100102,7804,502,820,232,745,1849,971,1033,1652,0.20265871405203426
04200203-2022-2,2022,2,04200203,1528,61,142,73,162,274,177,244,395,0.039679973740582825
04200204-2022-2,2022,2,04200204,3096,177,201,60,209,654,275,346,1174,0.08039869024924373
04200205-2022-2,2022,2,04200205,2543,79,199,76,230,489,378,448,644,0.0660380714805642
04200206-2022-2,2022,2,04200206,2904,113,291,105,250,453,399,507,786,0.07541272496246892
04200207-2022-2,2022,2,04200207,2958,90,268,87,596,528,314,386,689,0.07681502769937433
04200308-2022-2,2022,2,04200308,6174,262,427,135,681,1369,717,864,1719,0.16032994625285232
04200309-2022-2,2022,2,04200309,6843,296,435,129,644,1541,809,979,2010,0.1777029190489583
04200310-2022-2,2022,2,04200310,7685,353,555,195,704,1643,953,1038,2244,0.19956845431700196
04200311-2022-2,2022,2,04200311,7320,326,459,127,886,2097,801,1071,1553,0.19008992655828943
04300412-2022-2,2022,2,04300412,4442,305,252,67,502,1689,382,407,838,0.11535238439507127
04300413-2022-2,2022,2,04300413,10010,543,801,272,1120,2710,1336,1443,1785,0.25994537771154064
04300414-2022-2,2022,2,04300414,10664,506,711,205,1098,3083,1354,1544,2163,0.2769288219696173
04300415-2022-2,2022,2,04300415,6358,285,379,129,576,1631,716,889,1753,0.1651081629860115
04300416-2022-2,2022,2,04300416,11868,582,725,242,1322,3486,1417,1760,2334,0.3081949792887676
04300517-2022-2,2022,2,04300517,9476,425,531,183,1099,3080,1172,1400,1586,0.24607816175769817
04300518-2022-2,2022,2,04300518,5800,292,379,112,625,2027,677,775,913,0.15061770137132224
04300619-2022-2,2022,2,04300619,8798,412,525,174,865,2557,1090,1194,1981,0.22847147183877467
04300620-2022-2,2022,2,04300620,3631,205,209,65,468,1451,410,439,384,0.0942918747722881
04300621-2022-2,2022,2,04300621,10599,550,649,203,1083,3186,1288,1405,2235,0.27524086497149036
04300622-2022-2,2022,2,04300622,5238,321,331,95,561,1762,604,615,949,0.13602336547982513
04300623-2022-2,2022,2,04300623,12147,577,712,241,1550,3873,1475,1537,2182,0.3154402100961123
04300624-2022-2,2022,2,04300624,9224,419,463,174,1053,2692,1121,1363,1939,0.23953408231880627
04400725-2022-2,2022,2,04400725,98,3,0,0,3,58,17,10,7,0.0025449197817913067
04400726-2022-2,2022,2,04400726,5449,289,513,159,422,1064,736,715,1551,0.14150273358143703
04400727-2022-2,2022,2,04400727,8276,396,543,145,797,2111,1060,1235,1989,0.21491587871535567
04400728-2022-2,2022,2,04400728,3216,184,275,74,223,582,453,475,950,0.08351491855347798
04400729-2022-2,2022,2,04400729,2854,162,246,82,202,460,347,403,952,0.07411429650237132
04400830-2022-2,2022,2,04400830,8273,561,773,204,660,2293,927,948,1907,0.21483797300774982
04400831-2022-2,2022,2,04400831,1541,56,113,41,142,209,221,215,544,0.040017565140208204
04400832-2022-2,2022,2,04400832,6891,280,507,164,559,1267,940,1065,2109,0.17894941037065198
04400833-2022-2,2022,2,04400833,4088,187,272,82,243,832,458,566,1448,0.10615951089758022
04400834-2022-2,2022,2,04400834,3490,155,243,63,279,778,421,562,989,0.09063030651481287
04400835-2022-2,2022,2,04400835,10292,471,693,235,932,2228,1299,1684,2750,0.2672685142264911
04500936-2022-2,2022,2,04500936,5517,269,354,130,530,1413,710,780,1331,0.14326859628716979
04500937-2022-2,2022,2,04500937,7599,310,444,121,681,2049,945,1110,1939,0.19733515736563406
04500938-2022-2,2022,2,04500938,8216,415,544,135,711,2368,1000,1154,1889,0.21335776456323854
04500939-2022-2,2022,2,04500939,6741,376,429,143,683,1949,804,988,1369,0.17505412499035916
04501040-2022-2,2022,2,04501040,5942,256,365,136,524,1631,764,917,1349,0.15430523819799943
04501041-2022-2,2022,2,04501041,5429,233,339,128,448,1273,736,886,1386,0.140983362197398
04501042-2022-2,2022,2,04501042,3669,179,267,66,373,1019,504,469,792,0.09527868040196229
04501043-2022-2,2022,2,04501043,11018,491,753,244,991,2910,1360,1612,2657,0.2861216954671083
04501044-2022-2,2022,2,04501044,5441,260,371,119,494,1432,607,767,1391,0.14129498502782142
04501045-2022-2,2022,2,04501045,9115,372,519,165,882,2420,1185,1320,2252,0.23670350827579345
04501146-2022-2,2022,2,04501146,4613,283,318,94,519,1385,515,629,870,0.11979300972860508
04501147-2022-2,2022,2,04501147,5488,243,376,137,623,1564,721,807,1017,0.1425155077803132
04501148-2022-2,2022,2,04501148,4545,248,399,122,511,1241,543,603,878,0.11802714702287234
04501149-2022-2,2022,2,04501149,9996,510,705,258,913,2580,1242,1409,2379,0.25958181774271333
04501150-2022-2,2022,2,04501150,3048,125,176,63,266,801,329,433,855,0.07915219892755003
04501151-2022-2,2022,2,04501151,7404,339,528,196,800,2035,926,1037,1543,0.19227128637125343
04501152-2022-2,2022,2,04501152,6840,267,412,125,693,1734,899,966,1744,0.17762501334135242
04501153-2022-2,2022,2,04501153,7410,382,506,164,749,2319,879,969,1442,0.19242709778646513
05100101-2022-2,2022,2,05100101,4348,315,416,91,347,980,484,624,1091,0.11291133889008778
05100102-2022-2,2022,2,05100102,4329,237,251,88,373,903,445,713,1319,0.11241793607525068
05100103-2022-2,2022,2,05100103,6068,579,566,113,594,2040,647,645,884,0.15757727791744539
05100104-2022-2,2022,2,05100104,5790,440,622,177,580,1625,622,608,1116,0.1503580156793027
05100105-2022-2,2022,2,05100105,7659,350,528,186,680,1657,913,1332,2013,0.19889327151775119
05100206-2022-2,2022,2,05100206,3687,207,457,155,370,716,385,457,940,0.09574611464759743
05100207-2022-2,2022,2,05100207,2322,125,134,60,244,487,293,500,479,0.0602990176869328
05100208-2022-2,2022,2,05100208,10902,747,1105,339,1017,2567,1234,1382,2511,0.28310934143968186
05100209-2022-2,2022,2,05100209,11797,731,1238,402,1233,2808,1356,1595,2434,0.30635121087542905
05100210-2022-2,2022,2,05100210,7853,446,631,153,825,2281,991,1132,1394,0.20393117394292992
05100211-2022-2,2022,2,05100211,6167,291,474,187,541,1257,793,1004,1620,0.16014816626843867
05100312-2022-2,2022,2,05100312,4125,238,341,100,532,1184,509,550,671,0.10712034795805246
05100313-2022-2,2022,2,05100313,6341,404,634,212,610,1538,694,676,1573,0.1646666973095783
05100314-2022-2,2022,2,05100314,7450,512,761,239,949,2316,902,899,872,0.19346584055454322
05100315-2022-2,2022,2,05100315,6942,451,596,167,849,2111,841,967,960,0.18027380739995155
05100316-2022-2,2022,2,05100316,10468,646,830,262,1154,3041,1319,1468,1748,0.27183898240603466
05100317-2022-2,2022,2,05100317,3989,302,431,127,441,1179,441,484,584,0.10358862254658696
05200418-2022-2,2022,2,05200418,3913,184,349,133,391,635,590,932,699,0.10161501128723861
05200419-2022-2,2022,2,05200419,1654,55,96,30,128,328,191,319,507,0.04295201346002879
05200420-2022-2,2022,2,05200420,5889,276,457,170,565,1178,707,1063,1473,0.15292890403029596
05200421-2022-2,2022,2,05200421,4405,308,430,127,479,1045,487,541,988,0.11439154733459904
05200422-2022-2,2022,2,05200422,1114,89,103,39,125,319,150,166,123,0.02892898609097465
05200423-2022-2,2022,2,05200423,6666,448,653,200,553,1580,712,852,1668,0.17310648230021278
05200524-2022-2,2022,2,05200524,3433,197,368,134,360,752,492,544,586,0.0891500980703016
05200525-2022-2,2022,2,05200525,2450,143,209,49,165,561,340,374,609,0.06362299454478267
05200526-2022-2,2022,2,05200526,5667,366,765,226,533,1463,666,655,993,0.1471638816674626
05200527-2022-2,2022,2,05200527,11966,972,1727,520,1384,2838,1325,1288,1912,0.31073989907055893
05200528-2022-2,2022,2,05200528,7148,406,504,158,589,1446,735,1161,2149,0.1856233326555537
05200629-2022-2,2022,2,05200629,8456,503,610,171,972,2386,916,1028,1870,0.21959022117170707
05200630-2022-2,2022,2,05200630,9957,542,784,233,1067,2776,1296,1434,1825,0.25856904354383714
05200631-2022-2,2022,2,05200631,8545,467,621,192,895,2553,1047,1260,1510,0.2219014238306808
05200632-2022-2,2022,2,05200632,3738,196,393,141,395,900,494,550,669,0.09707051167689698
05200633-2022-2,2022,2,05200633,2025,109,178,45,151,388,206,297,651,0.052586352633953025
05200634-2022-2,2022,2,05200634,4429,164,217,91,285,682,493,741,1756,0.1150147929954459
05300735-2022-2,2022,2,05300735,3962,480,440,115,621,1406,406,318,176,0.10288747117813425
05300736-2022-2,2022,2,05300736,3619,307,493,156,357,946,522,417,421,0.09398025194186468
05300737-2022-2,2022,2,05300737,11733,722,870,238,1132,3152,1349,1651,2619,0.3046892224465041
05300838-2022-2,2022,2,05300838,32,0,0,0,0,7,7,18,0,0.0008309942144624675
05300839-2022-2,2022,2,05300839,7783,418,742,240,853,1981,1064,1070,1415,0.20211337409879326
05300840-2022-2,2022,2,05300840,483,31,37,12,28,143,59,68,105,0.01254281892454287
05300841-2022-2,2022,2,05300841,4644,290,354,103,575,1490,500,593,739,0.1205980353738656
05400942-2022-2,2022,2,05400942,3793,170,294,112,308,602,461,669,1177,0.09849878298300435
05400943-2022-2,2022,2,05400943,10545,632,1267,409,769,1925,1553,1657,2333,0.273838562234585
05400944-2022-2,2022,2,05400944,2217,99,185,65,144,312,243,354,815,0.057572317920727825
05400945-2022-2,2022,2,05400945,3672,169,349,113,233,516,434,605,1253,0.09535658610956815
06100101-2022-2,2022,2,06100101,6869,271,468,214,638,1372,821,1033,2052,0.17837810184820904
06100102-2022-2,2022,2,06100102,9124,503,700,175,910,2706,1076,1329,1725,0.23693722539861106
06100103-2022-2,2022,2,06100103,6200,338,449,125,601,1751,853,901,1182,0.16100512905210307
06100204-2022-2,2022,2,06100204,6866,327,443,160,764,1754,871,1023,1524,0.1783001961406032
06100205-2022-2,2022,2,06100205,9998,592,738,198,1040,2732,1214,1483,2001,0.25963375488111723
06100206-2022-2,2022,2,06100206,7734,368,541,181,736,1963,948,1118,1879,0.20084091420789763
06100207-2022-2,2022,2,06100207,8124,456,527,177,831,2306,988,1079,1760,0.21096865619665894
06100208-2022-2,2022,2,06100208,6964,365,467,117,717,1970,818,1018,1492,0.1808451159223945
06100209-2022-2,2022,2,06100209,9349,515,674,169,847,2782,1188,1265,1909,0.24278015346905027
06100210-2022-2,2022,2,06100210,4987,260,367,93,420,1416,620,778,1033,0.12950525461013518
06200311-2022-2,2022,2,06200311,4923,238,365,114,402,1005,612,728,1459,0.12784326618121025
06200312-2022-2,2022,2,06200312,6164,308,481,137,607,1352,730,817,1732,0.16007026056083282
06200313-2022-2,2022,2,06200313,7383,410,521,124,709,2023,891,1084,1621,0.1917259464180124
06200314-2022-2,2022,2,06200314,7176,400,529,138,644,1908,895,1088,1574,0.18635045259320834
06200315-2022-2,2022,2,06200315,6687,434,588,157,624,1655,795,925,1509,0.17365182225345374
06200316-2022-2,2022,2,06200316,5417,310,414,134,638,1319,601,696,1305,0.14067173936697458
06200317-2022-2,2022,2,06200317,6357,315,489,176,521,1124,833,1086,1813,0.16508219441680955
06200418-2022-2,2022,2,06200418,0,0,0,0,0,0,0,0,0,0.0
06200419-2022-2,2022,2,06200419,4529,241,379,124,444,1171,450,559,1161,0.11761164991564112
06200420-2022-2,2022,2,06200420,7205,390,550,188,606,1527,900,1133,1911,0.18710354110006494
06200421-2022-2,2022,2,06200421,8400,395,656,213,741,1689,1027,1180,2499,0.21813598129639772
06200422-2022-2,2022,2,06200422,7125,346,592,183,719,1404,889,1062,1930,0.18502605556390878
06200423-2022-2,2022,2,06200423,8670,402,838,275,692,1550,1066,1317,2530,0.2251474949809248
06300524-2022-2,2022,2,06300524,5762,239,482,201,552,999,716,861,1712,0.14963089574164806
06300525-2022-2,2022,2,06300525,5746,292,418,120,516,1291,767,905,1437,0.14921539863441682
06300526-2022-2,2022,2,06300526,3370,191,331,97,352,708,453,509,729,0.0875140782105786
06300527-2022-2,2022,2,06300527,8419,401,591,168,814,1875,1032,1356,2182,0.21862938411123478
06300528-2022-2,2022,2,06300528,11019,437,972,361,836,1787,1381,1638,3607,0.28614766403631026
06300629-2022-2,2022,2,06300629,7037,280,506,166,666,1694,884,1088,1753,0.18274082147413698
06300630-2022-2,2022,2,06300630,5643,310,441,177,667,1415,675,811,1147,0.14654063600661574
06300631-2022-2,2022,2,06300631,2989,116,263,78,493,628,398,386,627,0.07762005334463486
06300632-2022-2,2022,2,06300632,14040,756,1487,497,1171,2787,2073,2148,3121,0.3645987115954076
06300633-2022-2,2022,2,06300633,12070,560,1027,322,1107,2613,1532,1911,2998,0.31344063026756197
06300634-2022-2,2022,2,06300634,8489,402,789,278,730,1545,1124,1295,2326,0.22044718395537147
06400735-2022-2,2022,2,06400735,10343,458,1047,341,740,1680,1412,1625,3040,0.26859291125579066
06400736-2022-2,2022,2,06400736,5243,254,566,182,423,799,727,801,1491,0.1361532083258349
06400737-2022-2,2022,2,06400737,11357,470,992,359,1534,2019,1320,1586,3077,0.29492504042657014
06400838-2022-2,2022,2,06400838,7539,337,666,247,567,1068,933,1322,2399,0.19577704321351694
06400839-2022-2,2022,2,06400839,5307,215,482,156,434,833,712,832,1643,0.13781519675475984
06400840-2022-2,2022,2,06400840,7216,289,601,236,680,1118,954,1242,2096,0.18738919536128643
06400841-2022-2,2022,2,06400841,6262,291,509,186,552,1202,648,833,2041,0.1626151803426241
06400842-2022-2,2022,2,06400842,4880,295,614,195,393,987,859,697,840,0.1267266177055263
06400843-2022-2,2022,2,06400843,4751,190,462,179,472,751,647,843,1207,0.12337667227847447
